iter	RMSE
0	238.8203236
1	235.4646828
2	232.1923155
3	229.4562639
4	226.9247214
5	224.1463694
6	221.5969339
7	219.3077075
8	217.0595325
9	215.1547583
10	213.4755053
11	211.6372822
12	210.2118731
13	208.6720766
14	206.9428976
15	205.5173109
16	204.3609188
17	203.0776611
18	201.7886306
19	200.6439648
20	199.4171868
21	198.386164
22	197.4522658
23	196.29836
24	195.5008474
25	194.6071429
26	193.6538553
27	192.7878061
28	191.9475622
29	191.2227062
30	190.3549583
31	189.7102496
32	188.9037493
33	188.4861281
34	187.7054781
35	187.199792
36	186.5324848
37	185.9236769
38	185.2991331
39	184.8360103
40	184.4037136
41	183.7765526
42	183.3138899
43	182.8425347
44	182.2942224
45	181.7078069
46	181.3767907
47	180.9886015
48	180.573236
49	180.1545824
50	179.8358875
51	179.5436344
52	179.2357526
53	178.8217567
54	178.4718449
55	177.9732317
56	177.6929515
57	177.2664009
58	177.0321043
59	176.7775344
60	176.4751043
61	176.1831173
62	175.879661
63	175.6571443
64	175.3128275
65	174.8806163
66	174.7259513
67	174.4593699
68	174.0774483
69	173.9229465
70	173.6948635
71	173.3516265
72	173.1680112
73	172.8854723
74	172.6244941
75	172.3992848
76	172.2054463
77	172.0113467
78	171.7077505
79	171.4346226
80	171.2046821
81	171.0065625
82	170.7902613
83	170.5595926
84	170.2890899
85	170.0208166
86	169.8362126
87	169.6190447
88	169.3295522
89	169.112902
90	168.8344789
91	168.5814705
92	168.356213
93	168.1734804
94	167.9419123
95	167.7822986
96	167.5348837
97	167.3210696
98	167.1350476
99	167.0374446
100	166.7923788
101	166.5980875
102	166.3705086
103	166.1970986
104	165.987935
105	165.7295973
106	165.5089732
107	165.4233069
108	165.2718726
109	165.1046496
110	164.9701248
111	164.7849645
112	164.5933932
113	164.5403217
114	164.3977905
115	164.1841577
116	163.9813743
117	163.774629
118	163.7399208
119	163.6149524
120	163.4614959
121	163.3204847
122	163.2440414
123	163.1773346
124	163.071817
125	162.9364671
126	162.7246561
127	162.6563451
128	162.5479152
129	162.4644053
130	162.3680678
131	162.3049647
132	162.2185369
133	162.1143342
134	161.966224
135	161.9195107
136	161.8869529
137	161.79686
138	161.6175478
139	161.4574783
